iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,5.923163339495659,0.5538562399645647,4.2368152141571045,-3485.2165655079334,12
2,5.269824266433716,0.42041011651357013,2.797670602798462,-7862.699702776681,12
3,5.406652569770813,-0.9567603170871735,2.710439682006836,-5038.268287080749,12
4,0.0,-1.125,1.898949384689331,-7478.006802047174,12
5,0.0,-1.0833333333333333,2.0269713401794434,-72169.47528851057,12
6,5.128259301185608,0.2768172224362691,1.5963490009307861,-18991.655791383284,12
7,5.905736677348614,-0.27304230195780593,1.9618256092071533,-34941.92559748912,12
8,5.725453446805477,0.2656860906630754,1.6632487773895264,-16809.438228677183,12
9,0.0,-0.7916666666666666,1.6334991455078125,-24976.399284782645,12
10,4.234889507293701,-1.004952311515808,2.1884613037109375,-931331.6361575262,12
11,5.536016255617142,0.39201878756284714,1.8192360401153564,-23305.477078651795,12
12,5.379503905773163,-0.6350413411855698,1.8185062408447266,-4427.717050580076,12
13,4.70583963394165,-0.7328466971715292,1.6711759567260742,-17211.779739874943,12
14,5.294181227684021,0.572269136706988,1.6225836277008057,-1882115.677277325,12
15,4.244640588760376,-0.7296132842699686,1.967552661895752,-9621.270808564279,12
16,5.1211318373680115,-0.1564235637585322,5.360340118408203,-7967.0904196593765,12
