iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,0.0,-0.7760339920959978,116.61073446273804,-32515.72492998678,12
2,0.0,-0.97410955209607,79.97497367858887,-3102.225179626194,12
3,0.10938512302836975,-0.5289118821611981,158.61933088302612,-3.1326099694690552,12
4,0.0,-0.8563999487562507,109.9661283493042,-14.001398878192688,12
5,0.0,-0.8064250489110191,85.76153802871704,-13949393.262308797,12
6,0.0,-1.3696040052731624,87.11995148658752,-2955357.0434558536,12
7,0.0,-0.6288943477227029,74.79835152626038,-2.7694309288554986,12
8,0.0,-0.784810888869177,161.168719291687,-2.8764225659557194,12
9,0.0,-0.777046483045814,165.15249061584473,-2.9041675388711887,12
10,0.0,-0.5172680615942579,132.765727519989,-3.3634702007028925,12
11,0.0,-0.7484011549159115,157.55897617340088,-3.4379563381134486,12
12,0.12211016100014808,-0.4385077858059068,219.8570408821106,-5.550923155046211,12
